age_group,F,M,gap_min,gap_pct
15-19,77.07,66.15,10.92,16.5
16-18,68.73,58.77,9.97,16.96
19-24,69.08,58.87,10.22,17.36
25-29,69.47,59.42,10.04,16.9
30-34,70.79,59.85,10.94,18.28
35-39,72.55,60.77,11.78,19.39
40-44,76.08,62.83,13.25,21.09
45-49,81.18,64.63,16.55,25.61
50-54,82.88,67.1,15.78,23.51
55-59,85.87,69.32,16.55,23.88
60-64,92.02,72.67,19.35,26.63
65-69,101.28,77.28,24.0,31.05
70-74,107.0,89.01,17.99,20.21
75-79,103.85,95.38,8.47,8.88
80-84,101.05,93.85,7.2,7.67
85-89,130.08,113.44,16.64,14.67
90-94,122.48,97.93,24.55,25.07
95+,175.02,,,
